date,code,open,high,low,close,preclose,volume,amount,turn,tradestatus,pctChg
2022-01-04,sz.002466,109.0,109.89,98.92,100.66,107.0,69060513,7057094752.63,4.686,1,-5.9252
2022-01-05,sz.002466,98.99,99.92,94.61,95.97,100.66,47715403,4609648603.85,3.2377,1,-4.6592
2022-01-06,sz.002466,94.92,100.0,93.6,99.23,95.97,56556177,5481931766.32,3.8375,1,3.3969
2022-01-07,sz.002466,97.54,98.0,91.8,92.17,99.23,63241473,5926743569.71,4.2912,1,-7.1148
2022-01-10,sz.002466,92.0,96.87,91.28,95.48,92.17,44489283,4216647422.15,3.0188,1,3.5912
2022-01-11,sz.002466,95.4,97.48,92.5,94.99,95.48,36841325,3479203508.89,2.4998,1,-0.5132
2022-01-12,sz.002466,97.53,99.22,94.5,97.03,94.99,54493236,5291730458.63,3.6976,1,2.1476
2022-01-13,sz.002466,96.38,96.8,90.0,90.78,97.03,71190310,6548489053.62,4.8305,1,-6.4413
2022-01-14,sz.002466,90.0,91.46,88.1,90.4,90.78,46499902,4184356316.94,3.1552,1,-0.4186
2022-01-17,sz.002466,89.98,89.99,86.4,88.36,90.4,49791392,4371795726.79,3.3785,1,-2.2566
2022-01-18,sz.002466,87.0,90.4,85.99,88.69,88.36,45918309,4051934396.24,3.1157,1,0.3735
2022-01-19,sz.002466,88.1,88.6,81.8,83.46,88.69,70138077,5913508716.71,4.7591,1,-5.8969
2022-01-20,sz.002466,83.29,83.7,81.14,81.32,83.46,39319781,3231879460.96,2.668,1,-2.5641
2022-01-21,sz.002466,81.15,84.33,80.42,82.03,81.32,45710024,3788086131.99,3.1016,1,0.8731
2022-01-24,sz.002466,81.03,89.5,81.03,88.08,82.03,74338934,6416245191.65,5.0442,1,7.3754
2022-01-25,sz.002466,88.09,89.43,86.7,86.76,88.08,51781567,4562772731.63,3.5136,1,-1.4986
2022-01-26,sz.002466,88.88,89.46,84.0,85.67,86.76,44642288,3841146105.8,3.0291,1,-1.2563
2022-01-27,sz.002466,90.5,91.5,88.35,88.64,85.67,76829150,6896273458.13,5.2131,1,3.4668
2022-01-28,sz.002466,90.01,90.69,85.7,88.4,88.64,52273871,4640672624.82,3.547,1,-0.2708
2022-02-07,sz.002466,90.47,90.47,81.5,83.08,88.4,72605901,6188870980.7,4.9266,1,-6.0181
2022-02-08,sz.002466,83.54,84.0,78.1,81.15,83.08,59613922,4788251472.51,4.045,1,-2.3231
2022-02-09,sz.002466,80.8,82.85,78.79,81.67,81.15,48776650,3955632571.91,3.3097,1,0.6408
2022-02-10,sz.002466,81.52,81.87,79.12,80.72,81.67,43307121,3471339278.37,2.9385,1,-1.1632
2022-02-11,sz.002466,81.47,86.29,80.22,83.35,80.72,68790270,5766729060.66,4.6677,1,3.2582
2022-02-14,sz.002466,83.0,88.5,82.61,86.98,83.35,63125902,5459143218.3,4.2833,1,4.3551
2022-02-15,sz.002466,87.57,88.2,85.0,88.02,86.98,47054606,4090755392.61,3.1928,1,1.1957
2022-02-16,sz.002466,88.95,90.5,86.65,87.2,88.02,52447727,4654951800.76,3.5588,1,-0.9316
2022-02-17,sz.002466,86.01,95.92,86.01,95.92,87.2,112771136,10537596934.1,7.6519,1,10.0
2022-02-18,sz.002466,94.01,96.49,94.0,95.68,95.92,58959169,5619253404.63,4.0006,1,-0.2502
2022-02-21,sz.002466,96.0,97.62,94.6,97.2,95.68,61437124,5909507067.1,4.1687,1,1.5886
2022-02-22,sz.002466,100.92,101.98,98.0,100.85,97.2,75539000,7588597522.35,5.1256,1,3.7551
2022-02-23,sz.002466,100.0,102.48,99.22,101.0,100.85,50170409,5062109337.74,3.4042,1,0.1487
2022-02-24,sz.002466,99.0,99.99,93.8,96.4,101.0,77725407,7545774306.43,5.2739,1,-4.5545
2022-02-25,sz.002466,99.94,100.38,97.1,98.35,96.4,44237536,4375364543.9,3.0017,1,2.0228
2022-02-28,sz.002466,99.75,101.38,98.55,100.38,98.35,45116360,4526721024.0,3.0613,1,2.0641
2022-03-01,sz.002466,100.0,100.0,94.5,96.0,100.38,66992664,6477275648.0,4.5457,1,-4.3634
2022-03-02,sz.002466,95.81,96.69,93.98,95.6,96.0,40131633,3819608800.0,2.7231,1,-0.4167
2022-03-03,sz.002466,96.0,96.3,93.48,93.64,95.6,34926819,3298375856.0,2.3699,1,-2.0502
2022-03-04,sz.002466,95.1,97.0,91.81,92.7,93.64,57664012,5441272320.0,3.9127,1,-1.0038
2022-03-07,sz.002466,92.01,93.98,89.37,90.5,92.7,47484092,4343497984.0,3.222,1,-2.3732
