date,code,open,high,low,close,preclose,volume,amount,turn,tradestatus,pctChg
2022-01-04,sz.300763,230.0,230.0,206.93,207.23,231.55,4163815,889461232.57,3.8786,1,-10.5031
2022-01-05,sz.300763,208.48,210.99,202.14,209.48,207.23,3434242,708855226.93,3.199,1,1.0858
2022-01-06,sz.300763,205.45,211.5,200.55,209.56,209.48,3103710,643300161.73,2.8911,1,0.0382
2022-01-07,sz.300763,207.35,209.56,189.94,206.67,209.56,5462365,1092103002.06,5.0882,1,-1.3791
2022-01-10,sz.300763,201.0,211.98,200.31,201.95,206.67,3112638,639193502.06,2.8994,1,-2.2838
2022-01-11,sz.300763,203.98,204.97,191.88,194.66,201.95,3051688,597424934.16,2.8427,1,-3.6098
2022-01-12,sz.300763,197.43,209.0,192.58,207.03,194.66,3948505,792726089.73,3.6781,1,6.3547
2022-01-13,sz.300763,205.9,211.65,199.11,207.96,207.03,3162118,651509636.74,2.9455,1,0.4492
2022-01-14,sz.300763,202.73,219.87,202.73,216.55,207.96,3411294,732870991.11,3.1776,1,4.1306
2022-01-17,sz.300763,210.89,223.0,210.57,211.0,216.55,3363177,724640801.71,3.1328,1,-2.5629
2022-01-18,sz.300763,214.0,222.52,208.88,218.32,211.0,3121049,680159717.95,2.9073,1,3.4692
2022-01-19,sz.300763,217.15,220.0,212.0,217.9,218.32,2159044,468014311.15,2.0112,1,-0.1924
2022-01-20,sz.300763,216.05,227.88,214.13,221.43,217.9,2274093,504328882.38,2.1183,1,1.62
2022-01-21,sz.300763,221.0,232.59,221.0,225.93,221.43,2096404,476314782.42,1.9528,1,2.0322
2022-01-24,sz.300763,226.0,259.87,224.0,247.99,225.93,5438231,1331144646.03,5.0657,1,9.7641
2022-01-25,sz.300763,249.47,252.0,240.91,242.29,247.99,2024445,497533611.13,1.8858,1,-2.2985
2022-01-26,sz.300763,247.0,259.9,245.99,253.0,242.29,3141387,793374771.94,2.9262,1,4.4203
2022-01-27,sz.300763,248.88,255.99,240.0,245.76,253.0,3652108,896886591.19,3.402,1,-2.8617
2022-01-28,sz.300763,246.56,250.0,226.27,234.96,245.76,3881587,913802575.81,3.6157,1,-4.3945
2022-02-07,sz.300763,240.41,241.0,218.5,231.59,234.96,3556542,807394542.1,3.3129,1,-1.4343
2022-02-08,sz.300763,227.36,228.0,206.2,213.0,231.59,3534631,755037527.74,3.2925,1,-8.0271
2022-02-09,sz.300763,213.0,219.36,210.81,217.0,213.0,2298485,494501596.07,2.1411,1,1.8779
2022-02-10,sz.300763,216.34,218.89,203.98,206.8,217.0,2194126,457966784.74,2.0438,1,-4.7005
2022-02-11,sz.300763,206.14,209.3,201.63,202.3,206.8,1655357,340001243.02,1.542,1,-2.176
2022-02-14,sz.300763,201.0,206.82,198.88,201.05,202.3,1297237,261858782.05,1.2084,1,-0.6179
2022-02-15,sz.300763,204.19,219.8,200.2,219.49,201.05,2882860,611744454.99,2.6854,1,9.1718
