date,code,open,high,low,close,volume,amount
2022-05-11,sh.000016,2714.6817,2769.4796,2713.8649,2741.2324,3813222000,77871952394.0000
2022-05-12,sh.000016,2723.4090,2740.5156,2711.3488,2721.7699,2583563500,52554276010.0000
2022-05-13,sh.000016,2741.7711,2760.4310,2729.5751,2748.2369,2726297700,52374083114.0000
2022-05-16,sh.000016,2764.3861,2765.8978,2710.5698,2720.4055,2727873900,54678309504.0000
2022-05-17,sh.000016,2730.4226,2756.7400,2723.6979,2756.7400,2836239400,55606152698.0000
2022-05-18,sh.000016,2765.2755,2765.2755,2720.9187,2745.5279,2531908300,57059042669.0000
2022-05-19,sh.000016,2711.4537,2748.3028,2708.8135,2744.5450,2597853900,58086722427.0000
2022-05-20,sh.000016,2759.8347,2807.9793,2759.8347,2807.9420,3466762100,76403794245.0000
2022-05-23,sh.000016,2813.9332,2813.9332,2769.7012,2782.5478,2848875300,59978039685.0000
2022-05-24,sh.000016,2784.6535,2786.5419,2733.6971,2734.1923,3260985000,63833541670.0000
2022-05-25,sh.000016,2737.6447,2749.0720,2727.4861,2743.4166,2377273800,48795937347.0000
2022-05-26,sh.000016,2749.9854,2760.7973,2717.7447,2744.8984,2844144400,60605725557.0000
2022-05-27,sh.000016,2766.3198,2789.2377,2753.7784,2763.0717,2918524700,61031891544.0000
2022-05-30,sh.000016,2777.8494,2788.9799,2767.0871,2778.4507,2767430700,58589673119.0000
2022-05-31,sh.000016,2780.5604,2817.4901,2769.5632,2813.2188,3251868800,73083530185.0000
2022-06-01,sh.000016,2811.1526,2812.7834,2783.6065,2798.0681,2624483700,54013740629.0000
2022-06-02,sh.000016,2786.0797,2794.0982,2776.7279,2790.3164,2526837300,55769768213.0000
2022-06-06,sh.000016,2792.4402,2826.5955,2762.9566,2825.6505,4339136800,86762898392.0000
2022-06-07,sh.000016,2828.1630,2863.1425,2819.8154,2846.8098,3667886300,85956204437.0000
2022-06-08,sh.000016,2857.6940,2888.6679,2849.2613,2879.3113,3529928800,83463850125.0000
2022-06-09,sh.000016,2877.8819,2896.7447,2857.8239,2868.4236,3931963100,77278266443.0000
2022-06-10,sh.000016,2843.5811,2902.4751,2836.8552,2899.5785,4360883700,85845353718.0000
2022-06-13,sh.000016,2862.9035,2868.6212,2826.9814,2844.7236,4742483000,92932463407.0000
2022-06-14,sh.000016,2814.8173,2884.4656,2808.9799,2882.7031,4986870200,91875995211.0000
2022-06-15,sh.000016,2882.1512,2971.3600,2882.1512,2923.9889,6794505200,135234883007.0000
2022-06-16,sh.000016,2927.1608,2936.4680,2888.7351,2891.3354,4708186800,90668012027.0000
2022-06-17,sh.000016,2876.5108,2943.3241,2876.5108,2936.1999,4039392900,93115676928.0000
2022-06-20,sh.000016,2935.2231,2951.0654,2904.3833,2924.9151,4561041800,92728618368.0000
2022-06-21,sh.000016,2924.1463,2945.6986,2902.3778,2926.4750,5588918300,90988264209.0000
2022-06-22,sh.000016,2932.0561,2932.0561,2890.7589,2892.2861,5659816100,84084549921.0000
2022-06-23,sh.000016,2896.7226,2936.6437,2896.7226,2935.8829,6285940400,92505278987.0000
2022-06-24,sh.000016,2945.2890,2983.6114,2944.1919,2974.7537,6300014300,108034464024.0000
2022-06-27,sh.000016,2991.1018,3034.6857,2991.1018,3013.9480,6141922500,114054583959.0000
2022-06-28,sh.000016,3012.6224,3044.5444,2991.5418,3039.4133,5479232600,100324931233.0000
2022-06-29,sh.000016,3029.3837,3050.4512,3001.2780,3009.2359,5072538500,101279709916.0000
2022-06-30,sh.000016,3001.8126,3085.2215,3001.8126,3058.3976,4387491900,100136520415.0000
2022-07-01,sh.000016,3066.5852,3072.8545,3033.5987,3045.2687,4568476300,87637031321.0000
2022-07-04,sh.000016,3031.0597,3051.0556,3011.3324,3050.1516,4090379800,97466331431.0000
2022-07-05,sh.000016,3058.4295,3078.3979,3018.1923,3052.1113,4599256700,99185306872.0000
2022-07-06,sh.000016,3041.4895,3041.4895,2979.3304,2996.7279,4420669300,94508528370.0000
2022-07-07,sh.000016,2994.3623,3005.0045,2968.3475,2989.2081,3600641100,79829716764.0000
2022-07-08,sh.000016,3012.8817,3022.3479,2992.6274,2993.3063,3445529700,77736661889.0000
2022-07-11,sh.000016,2974.3586,2974.3586,2930.1034,2942.2959,4421239100,82810321481.0000
2022-07-12,sh.000016,2942.5193,2953.7038,2910.4511,2922.0045,3827040000,74996181537.0000
2022-07-13,sh.000016,2918.3473,2930.3893,2902.6638,2914.2949,4158447500,74213608922.0000
2022-07-14,sh.000016,2906.4810,2916.1832,2882.5708,2895.2990,4785324900,84992875731.0000
2022-07-15,sh.000016,2873.8149,2912.3201,2839.3936,2839.3936,4668847800,87698249403.0000
2022-07-18,sh.000016,2849.9879,2880.7514,2826.1258,2878.6393,3704412800,73808619626.0000
2022-07-19,sh.000016,2876.3168,2876.4039,2839.0566,2865.6029,3183718300,60686230006.0000
2022-07-20,sh.000016,2883.5151,2887.9394,2867.5907,2874.0775,2543596000,54309122279.0000
2022-07-21,sh.000016,2862.8668,2866.3135,2836.2365,2836.6615,3197566600,59544814678.0000
2022-07-22,sh.000016,2845.9245,2869.3621,2828.6452,2848.4360,2768592400,58284600844.0000
2022-07-25,sh.000016,2846.8323,2846.9779,2829.2361,2837.2596,2159877200,46782168201.0000
2022-07-26,sh.000016,2845.1395,2864.4620,2843.0027,2854.6387,2543163500,54799248822.0000
2022-07-27,sh.000016,2847.0085,2847.8566,2825.6163,2829.9217,2285126500,54040051160.0000
2022-07-28,sh.000016,2839.2535,2861.5193,2826.5348,2827.1067,2846646000,64358462646.0000
2022-07-29,sh.000016,2827.4744,2849.2474,2784.5712,2792.3287,3356866800,67290565443.0000
2022-08-01,sh.000016,2785.6929,2794.1793,2763.5804,2781.6822,2800376500,59876353755.0000
2022-08-02,sh.000016,2757.1929,2757.1929,2705.7303,2730.7553,3854856800,72447651730.0000
2022-08-03,sh.000016,2735.1587,2755.6793,2705.9495,2710.7238,3084380300,69889917972.0000
2022-08-04,sh.000016,2724.8043,2743.6151,2717.7852,2741.0872,2697448900,61032417157.0000
2022-08-05,sh.000016,2748.6490,2777.1068,2738.1418,2774.3351,2824229400,62341987756.0000
2022-08-08,sh.000016,2762.3160,2771.3566,2751.3649,2761.1571,2384618200,54567025150.0000
2022-08-09,sh.000016,2760.2361,2769.7297,2752.4868,2764.0680,2190369500,51085166304.0000
2022-08-10,sh.000016,2762.3643,2770.4980,2719.6085,2730.9608,2293691000,53349296020.0000
2022-08-11,sh.000016,2744.6807,2787.3653,2737.8752,2787.0631,2947238500,66652794990.0000
2022-08-12,sh.000016,2780.0481,2802.5757,2774.9649,2796.8887,2666247700,54831015036.0000
2022-08-15,sh.000016,2787.5077,2811.2371,2779.6263,2782.6660,2645829000,55591479150.0000
2022-08-16,sh.000016,2785.9414,2793.2692,2764.6563,2769.2609,2347749400,55102694411.0000
2022-08-17,sh.000016,2773.3874,2791.7069,2751.0168,2785.8529,2803054800,54766826776.0000
2022-08-18,sh.000016,2778.1255,2783.7582,2751.4818,2759.2944,2258313200,51799985787.0000
2022-08-19,sh.000016,2755.0871,2772.2248,2750.0630,2750.6305,2818665800,65239909719.0000
2022-08-22,sh.000016,2737.3986,2767.2776,2736.1311,2756.3688,2912813600,69087912887.0000
2022-08-23,sh.000016,2754.6338,2759.6859,2727.7383,2735.6660,2490853800,62558926317.0000
2022-08-24,sh.000016,2738.3837,2750.8719,2706.1522,2708.0902,3092530600,64735398628.0000
2022-08-25,sh.000016,2715.6384,2756.9393,2707.4573,2752.5560,3196400900,66906946066.0000
2022-08-26,sh.000016,2758.5070,2763.6428,2745.5172,2751.5894,2603134700,59152883354.0000
2022-08-29,sh.000016,2721.8592,2736.5962,2718.9674,2732.2055,2489050700,49337708448.0000
2022-08-30,sh.000016,2731.9805,2741.5952,2705.0459,2726.6602,2593052200,49973839747.0000
2022-08-31,sh.000016,2713.2938,2779.6158,2713.2938,2761.7831,3988639500,84495695146.0000
2022-09-01,sh.000016,2750.0334,2757.8794,2731.6963,2732.3990,2542247900,53892302705.0000
2022-09-02,sh.000016,2737.1969,2740.6630,2698.3276,2711.2642,2278133500,46293973683.0000
2022-09-05,sh.000016,2700.1077,2706.9588,2676.6046,2697.7665,2493869000,53553637428.0000
2022-09-06,sh.000016,2706.0966,2726.7159,2703.9982,2724.4980,2912444800,59350157193.0000
2022-09-07,sh.000016,2709.7667,2718.1716,2703.0843,2710.6862,2345475400,52204053022.0000
2022-09-08,sh.000016,2714.0277,2725.2493,2707.4661,2708.2782,2420902200,45568624387.0000
2022-09-09,sh.000016,2719.0141,2763.1682,2710.7661,2757.5659,3248564000,66848160232.0000
2022-09-13,sh.000016,2769.4104,2781.3967,2751.0927,2769.2348,2992899200,62467591904.0000
2022-09-14,sh.000016,2734.9100,2760.4016,2732.7832,2745.4284,2484849900,46151277066.0000
2022-09-15,sh.000016,2753.1287,2769.4571,2728.8354,2743.7886,3369886100,65224694912.0000
2022-09-16,sh.000016,2731.9648,2738.6483,2678.0331,2678.0331,3844177400,65500196089.0000
2022-09-19,sh.000016,2677.3329,2695.4014,2669.0870,2679.5857,2726037900,46974619309.0000
2022-09-20,sh.000016,2688.1681,2691.5533,2666.6566,2673.8804,2375139400,43436818580.0000
2022-09-21,sh.000016,2667.1680,2670.0647,2641.7189,2652.2142,2396014700,45605600042.0000
2022-09-22,sh.000016,2631.9968,2645.5662,2621.8224,2629.3701,2422923600,43456028548.0000
2022-09-23,sh.000016,2625.2488,2649.8066,2618.9402,2629.8089,3027793400,46355758355.0000
2022-09-26,sh.000016,2612.6673,2650.2542,2611.5292,2614.8998,3438453300,55792674826.0000
2022-09-27,sh.000016,2616.0501,2645.7366,2605.2407,2642.9212,2614497000,50215186025.0000
2022-09-28,sh.000016,2635.2559,2637.0155,2608.6405,2611.9815,2473208600,47725104166.0000
2022-09-29,sh.000016,2633.0681,2644.0747,2596.9578,2608.9774,2596901700,52847177039.0000
2022-09-30,sh.000016,2618.0789,2631.7758,2604.9274,2610.1165,2324446400,43646943525.0000
2022-10-10,sh.000016,2610.7571,2611.0459,2542.0063,2545.0494,3371835800,59795586075.0000
2022-10-11,sh.000016,2552.1656,2553.2117,2532.2839,2539.9455,2421649600,42992647471.0000
2022-10-12,sh.000016,2537.8069,2556.5164,2482.5511,2555.0240,2863560600,59094755213.0000
2022-10-13,sh.000016,2534.5129,2541.1571,2517.4350,2523.6321,2862722300,61241425856.0000
2022-10-14,sh.000016,2544.2413,2599.1414,2541.3815,2584.6847,3344961900,73266105639.0000
2022-10-17,sh.000016,2572.6092,2588.3440,2561.2441,2585.4973,2682674200,57829756650.0000
2022-10-18,sh.000016,2594.7001,2598.2129,2565.0407,2569.9675,2097505000,46231590303.0000
2022-10-19,sh.000016,2562.5446,2572.3044,2519.9033,2519.9033,2159068300,52542101694.0000
2022-10-20,sh.000016,2495.0223,2535.3871,2494.2851,2501.4956,2383318200,56851849474.0000
2022-10-21,sh.000016,2503.1087,2510.5974,2473.1982,2487.2210,2725154900,52814977871.0000
2022-10-24,sh.000016,2468.6977,2493.0591,2386.5384,2392.5978,3980191500,89357086119.0000
2022-10-25,sh.000016,2386.8489,2427.3229,2376.1633,2394.9200,2843940900,63865287492.0000
2022-10-26,sh.000016,2395.8709,2438.6929,2392.7353,2400.5156,3658010900,69180872442.0000
2022-10-27,sh.000016,2413.0208,2432.1529,2379.0569,2381.2628,3551725200,75410992380.0000
2022-10-28,sh.000016,2364.7518,2377.9124,2322.6434,2326.9417,3245822300,70729706619.0000
2022-10-31,sh.000016,2300.8835,2327.0632,2288.0114,2295.9239,4152062500,75891431117.0000
2022-11-01,sh.000016,2306.4347,2396.9974,2306.4347,2396.6294,5009886700,96914775551.0000
2022-11-02,sh.000016,2385.7075,2437.9510,2375.5076,2418.3222,4229089000,87715382806.0000
2022-11-03,sh.000016,2396.4700,2409.1435,2376.0735,2387.4523,2865275600,61043266278.0000
2022-11-04,sh.000016,2383.9618,2479.2279,2383.9618,2468.2764,4062206800,87029322475.0000
2022-11-07,sh.000016,2452.0053,2490.3197,2449.6301,2477.7666,4044196100,71757131755.0000
2022-11-08,sh.000016,2476.6525,2482.5779,2442.9232,2459.0913,2729935200,51556848177.0000
2022-11-09,sh.000016,2460.2399,2470.4065,2435.0189,2440.3520,2512532500,45243206192.0000
2022-11-10,sh.000016,2422.0105,2451.4669,2414.3513,2440.3171,3820402100,50215591799.0000
2022-11-11,sh.000016,2511.7787,2546.0871,2482.1134,2518.0491,6150088100,104649174524.0000
2022-11-14,sh.000016,2550.9736,2577.2013,2532.5507,2538.2967,5034200000,94228472128.0000
2022-11-15,sh.000016,2535.2782,2594.2712,2526.6194,2583.7231,3658090100,78909146343.0000
2022-11-16,sh.000016,2581.9333,2595.2952,2568.3842,2572.8872,2883615500,64419185592.0000
2022-11-17,sh.000016,2566.2824,2569.4265,2531.3025,2560.0167,2748370300,61556087510.0000
2022-11-18,sh.000016,2563.2714,2572.7102,2544.8447,2546.7154,2845696200,55593763720.0000
2022-11-21,sh.000016,2523.0529,2523.0529,2489.4373,2514.8539,2553077900,54296498027.0000
2022-11-22,sh.000016,2516.6952,2555.7855,2508.8613,2531.3437,3729538100,56544106186.0000
2022-11-23,sh.000016,2524.1846,2554.7554,2520.8263,2535.5226,3596386100,52465863181.0000
2022-11-24,sh.000016,2550.2969,2562.0764,2517.1841,2520.5634,2231919200,38922995229.0000
2022-11-25,sh.000016,2518.8762,2554.5373,2512.8756,2544.6147,4129528800,53724596407.0000
2022-11-28,sh.000016,2489.4675,2507.7789,2458.8724,2503.6228,3277473700,57721467125.0000
2022-11-29,sh.000016,2538.6091,2611.7521,2538.6091,2607.7499,4908325000,91604848925.0000
2022-11-30,sh.000016,2595.2327,2623.8530,2593.5134,2606.5427,4055544000,67717735918.0000
2022-12-01,sh.000016,2661.1768,2678.3411,2629.8902,2631.2051,4415753300,83723221531.0000
2022-12-02,sh.000016,2628.1079,2630.2603,2609.5117,2614.6137,2931479400,55063832762.0000
2022-12-05,sh.000016,2647.4580,2676.4180,2635.7472,2676.1429,5462980300,84809079075.0000
2022-12-06,sh.000016,2663.1118,2704.9033,2658.1602,2684.8458,3625603300,70740334376.0000
2022-12-07,sh.000016,2678.6369,2705.2434,2661.2477,2670.6470,3453257800,64178141479.0000
2022-12-08,sh.000016,2667.3587,2681.6534,2661.7511,2672.8957,2633491900,51241277298.0000
2022-12-09,sh.000016,2676.7142,2712.8839,2663.6036,2706.7388,3834628300,73826523189.0000
2022-12-12,sh.000016,2689.5717,2700.3954,2670.2031,2673.9391,3163207900,64882716797.0000
2022-12-13,sh.000016,2673.5365,2688.2171,2668.4835,2676.8995,2852129800,49921377425.0000
2022-12-14,sh.000016,2678.4681,2698.0146,2663.7844,2686.3682,2596693300,56047969412.0000
2022-12-15,sh.000016,2689.5721,2697.4182,2661.8522,2675.1875,2315916300,48382939707.0000
2022-12-16,sh.000016,2662.4808,2691.1936,2662.4808,2688.2899,2496106800,50701982504.0000
2022-12-19,sh.000016,2688.1195,2696.9325,2635.1891,2646.1789,2635463300,47877355233.0000
2022-12-20,sh.000016,2636.0792,2640.0108,2580.8720,2599.4882,2172397100,47284907221.0000
2022-12-21,sh.000016,2608.8688,2617.9243,2602.6060,2607.4236,1573883000,33738171083.0000
2022-12-22,sh.000016,2632.2018,2645.7296,2608.4367,2619.7569,2106950300,45768048894.0000
2022-12-23,sh.000016,2602.4119,2628.3855,2595.8489,2615.8794,1592901400,34443192589.0000
2022-12-26,sh.000016,2617.1819,2625.8838,2604.8991,2607.5229,1981241700,41566451976.0000
2022-12-27,sh.000016,2623.1749,2640.7395,2616.9293,2632.4526,2181466100,39852708568.0000
2022-12-28,sh.000016,2629.9846,2646.7069,2620.1185,2638.3055,2317118900,41656655888.0000
2022-12-29,sh.000016,2622.1933,2627.4310,2605.0487,2622.0716,2277666700,41251495769.0000
2022-12-30,sh.000016,2633.1636,2648.4051,2631.8491,2635.2484,2388975700,41838275441.0000
2023-01-03,sh.000016,2628.6723,2645.9915,2603.7234,2641.4218,3023010000,54746966089.0000
2023-01-04,sh.000016,2644.2910,2659.5351,2637.7160,2651.0050,2806552100,51793840040.0000
2023-01-05,sh.000016,2670.4576,2705.7388,2668.1451,2700.3082,2771489400,65754233548.0000
2023-01-06,sh.000016,2704.2375,2721.9279,2698.9087,2713.6307,2836725900,61190293595.0000
2023-01-09,sh.000016,2730.9952,2747.6106,2722.1459,2742.2014,2968289700,61358496788.0000
2023-01-10,sh.000016,2742.6969,2748.6370,2731.8243,2733.6188,2421291500,55251392672.0000
2023-01-11,sh.000016,2739.9372,2760.0972,2733.4293,2740.1927,2474804500,54746699631.0000
2023-01-12,sh.000016,2749.6944,2752.1164,2732.8253,2741.9454,2225790300,47888079187.0000
2023-01-13,sh.000016,2751.5819,2787.3561,2747.3642,2787.3561,2465201500,56444142488.0000
2023-01-16,sh.000016,2789.8713,2864.8788,2787.9527,2834.2913,3927658400,93451912969.0000
2023-01-17,sh.000016,2833.7402,2837.5922,2813.7194,2827.0272,2496952600,58394050935.0000
2023-01-18,sh.000016,2829.7861,2838.8313,2807.5464,2810.0860,2056246800,46976558790.0000
2023-01-19,sh.000016,2807.5616,2823.1142,2786.0806,2820.8067,2393665200,56070795481.0000
2023-01-20,sh.000016,2831.6823,2847.3134,2822.6899,2836.8070,3441054600,64327252941.0000
2023-01-30,sh.000016,2895.3546,2895.3546,2835.6529,2839.1216,4202651800,91628151042.0000
2023-01-31,sh.000016,2842.5178,2853.8989,2804.9786,2807.9519,3003290000,67183034548.0000
2023-02-01,sh.000016,2819.1796,2820.8742,2780.8873,2820.8742,3755598700,71988315699.0000
2023-02-02,sh.000016,2828.5306,2828.5306,2798.3520,2811.8468,3406447500,70794092706.0000
2023-02-03,sh.000016,2795.1088,2795.1088,2753.0579,2774.8009,3100746000,65413067444.0000
2023-02-06,sh.000016,2744.7003,2744.7003,2716.7278,2735.0045,2630430000,59654757748.0000
2023-02-07,sh.000016,2744.6958,2752.7858,2730.8293,2740.4446,2070821000,42790863179.0000
2023-02-08,sh.000016,2744.4896,2758.0379,2727.7726,2731.2516,2011526100,38028487516.0000
2023-02-09,sh.000016,2725.2019,2765.6239,2723.5612,2761.8720,1982508100,48791468328.0000
