date,code,open,high,low,close,volume,amount,turnover,pct_change
2022-01-04,sh.600886,10.3631472,10.41769008,9.79953744,9.80862792,39747107,438204997.76,0.5706,-5.9285
2022-01-05,sh.600886,9.82680888,9.85408032,9.2722896,9.37228488,60159103,624827954.66,0.8636,-4.4486
2022-01-06,sh.600886,9.3631944,9.4995516,9.33592296,9.38137536,18153338,188021120.04,0.2606,0.097
2022-01-07,sh.600886,9.39046584,9.4540992,9.11775144,9.12684192,32392543,328691444.76,0.465,-2.7132
2022-01-10,sh.600886,9.05411808,9.3631944,9.02684664,9.33592296,19334592,196289719.74,0.2776,2.2908
2022-01-11,sh.600886,9.29956104,9.4995516,9.21774672,9.2268372,12817277,131883599.57,0.184,-1.1685
2022-01-12,sh.600886,9.23592768,9.30865152,9.10866096,9.19047528,17472551,176250072.59,0.2508,-0.3941
2022-01-13,sh.600886,9.10866096,9.17229432,8.9541228,8.99048472,21436192,212942917.85,0.3077,-2.1761
2022-01-14,sh.600886,8.9541228,9.07229904,8.8177656,8.92685136,16386084,161183487.15,0.2352,-0.7078
2022-01-17,sh.600886,8.94503232,9.01775616,8.83594656,8.94503232,12544740,123570644.97,0.1801,0.2037
2022-01-18,sh.600886,8.9541228,9.33592296,8.89957992,9.29956104,26549244,267868205.45,0.3811,3.9634
2022-01-19,sh.600886,9.2268372,9.4086468,9.17229432,9.35410392,16140798,165236643.73,0.2317,0.5865
2022-01-20,sh.600886,9.32683248,9.53591352,9.2268372,9.39955632,14302575,147820140.69,0.2053,0.4859
2022-01-21,sh.600886,9.39046584,9.4086468,9.2268372,9.25410864,13630081,139462225.86,0.1957,-1.5474
2022-01-24,sh.600886,9.24501816,9.3631944,9.16320384,9.30865152,12016199,122266123.39,0.1725,0.5894
2022-01-25,sh.600886,9.26319912,9.32683248,9.1359324,9.1813848,16843401,170797459.89,0.2418,-1.3672
2022-01-26,sh.600886,9.16320384,9.35410392,9.14502288,9.30865152,12753331,129591345.25,0.1831,1.3861
2022-01-27,sh.600886,9.23592768,9.32683248,9.14502288,9.29047056,12120325,123381915.6,0.174,-0.1953
2022-01-28,sh.600886,9.26319912,9.30865152,8.96321328,9.09048,13106043,131781553.91,0.1881,-2.1526
2022-02-07,sh.600886,8.9995752,9.19047528,8.9086704,9.17229432,22897198,228312047.78,0.3287,0.9
2022-02-08,sh.600886,9.11775144,9.60863736,9.01775616,9.59954688,28437086,295131518.95,0.4082,4.6581
2022-02-09,sh.600886,9.62681832,9.78135648,9.4995516,9.73590408,17732362,188878196.02,0.2546,1.4205
2022-02-10,sh.600886,9.74499456,9.8631708,9.61772784,9.83589936,14267963,153092543.18,0.2048,1.0271
2022-02-11,sh.600886,9.8177184,9.88135176,9.6359088,9.7268136,13525095,144904049.56,0.1942,-1.1091
2022-02-14,sh.600886,9.69045168,9.69045168,9.28138008,9.317742,20069578,208016880.45,0.2881,-4.2056
2022-02-15,sh.600886,9.3631944,9.39046584,9.21774672,9.2722896,12922034,132066783.73,0.1855,-0.4878
2022-02-16,sh.600886,9.317742,9.43591824,9.23592768,9.26319912,10958454,112309991.88,0.1573,-0.098
2022-02-17,sh.600886,9.25410864,9.30865152,9.08138952,9.16320384,17060849,171879213.99,0.2449,-1.0795
2022-02-18,sh.600886,9.15411336,9.21774672,9.08138952,9.15411336,11295551,113646972.93,0.1622,-0.0992
2022-02-21,sh.600886,9.19047528,9.19956576,9.11775144,9.16320384,8430219,84933327.21,0.121,0.0993
2022-02-22,sh.600886,9.10866096,9.15411336,8.9995752,9.05411808,11293432,112548391.5,0.1621,-1.1905
2022-02-23,sh.600886,9.09048,9.10866096,8.99048472,9.0450276,10172147,101023778.32,0.146,-0.1004
2022-02-24,sh.600886,8.9995752,9.17229432,8.863218,8.92685136,16883354,167514754.48,0.2424,-1.3065
2022-02-25,sh.600886,8.96321328,9.2268372,8.93594184,9.21774672,26297553,262987922.53,0.3775,3.2587
2022-02-28,sh.600886,9.1359324,9.34501344,9.02684664,9.10866096,15147015,152403849.0,0.2174,-1.1834
2022-03-01,sh.600886,9.08138952,9.17229432,9.0450276,9.08138952,9872900,98796971.0,0.1417,-0.2994
2022-03-02,sh.600886,9.07229904,9.12684192,8.9995752,9.12684192,8805126,87823196.0,0.1264,0.5005
2022-03-03,sh.600886,9.14502288,9.3631944,9.14502288,9.32683248,21382126,218311378.0,0.307,2.1912
2022-03-04,sh.600886,9.29047056,9.52682304,9.14502288,9.46318968,24358018,251719773.0,0.3497,1.462
2022-03-07,sh.600886,9.39955632,9.53591352,9.16320384,9.16320384,17675514,181221162.0,0.2537,-3.17
2022-03-08,sh.600886,9.1813848,9.19047528,8.84503704,8.863218,20526277,203084902.0,0.2947,-3.2738
2022-03-09,sh.600886,8.89048944,9.05411808,8.635956,8.9086704,20999692,204719356.0,0.3015,0.5128
2022-03-10,sh.600886,9.0450276,9.2268372,8.9086704,9.08138952,17177105,171598801.0,0.2466,1.9388
2022-03-11,sh.600886,9.03593712,9.05411808,8.78140368,9.01775616,19605022,191737871.0,0.2814,-0.7007
2022-03-14,sh.600886,8.9995752,9.05411808,8.87230848,8.89048944,16904927,166515364.0,0.2427,-1.4113
2022-03-15,sh.600886,8.8177656,8.84503704,8.2723368,8.35415112,30213878,280959536.0,0.4337,-6.0327
2022-03-16,sh.600886,8.49050832,8.635956,8.23597488,8.5450512,20060849,185382881.0,0.288,2.2851
2022-03-17,sh.600886,8.5905036,8.7268608,8.4995988,8.61777504,13808342,131036885.0,0.1982,0.8511
2022-03-18,sh.600886,8.61777504,8.83594656,8.5905036,8.64504648,13902986,132992893.23,0.1996,0.3165
2022-03-21,sh.600886,8.6814084,8.7268608,8.55414168,8.635956,13008038,123705954.6,0.1867,-0.1052
2022-03-22,sh.600886,8.635956,8.73595128,8.50868928,8.66322744,13250072,125935361.39,0.1902,0.3158
2022-03-23,sh.600886,8.6814084,8.863218,8.55414168,8.57232264,22420348,213805119.05,0.3219,-1.0493
2022-03-24,sh.600886,8.5450512,8.70867984,8.4541464,8.57232264,16539618,156262300.68,0.2374,0.0
2022-03-25,sh.600886,8.56323216,8.6814084,8.32687968,8.4995988,24606068,229839333.92,0.3532,-0.8484
2022-03-28,sh.600886,8.42687496,8.42687496,8.28142728,8.39960352,13359442,122797396.53,0.1918,-1.1765
2022-03-29,sh.600886,8.408694,8.4541464,8.38142256,8.41778448,8816097,81694838.59,0.1266,0.2165
2022-03-30,sh.600886,8.4541464,8.4995988,8.39960352,8.46323688,8918726,82784165.27,0.128,0.54
2022-03-31,sh.600886,8.4541464,8.49050832,8.41778448,8.49050832,7443334,69259630.32,0.1069,0.3222
2022-04-01,sh.600886,8.44505592,8.59959408,8.34506064,8.52687024,9668140,90340560.52,0.1388,0.4283
2022-04-06,sh.600886,8.51777976,8.79049416,8.4541464,8.78140368,14028181,133631467.76,0.2014,2.9851
2022-04-07,sh.600886,8.74504176,8.79049416,8.65413696,8.6814084,8633067,82680238.71,0.1239,-1.1387
2022-04-08,sh.600886,8.66322744,8.73595128,8.56323216,8.6814084,7741157,73687497.62,0.1111,0.0
2022-04-11,sh.600886,8.7268608,8.7723132,8.635956,8.65413696,13815845,132263285.43,0.1983,-0.3141
2022-04-12,sh.600886,8.65413696,8.7268608,8.4541464,8.635956,10919178,103338394.78,0.1568,-0.2101
2022-04-13,sh.600886,8.62686552,8.6814084,8.58141312,8.67231792,9351116,88883723.33,0.1342,0.4211
2022-04-14,sh.600886,8.67231792,8.69049888,8.58141312,8.5905036,11720444,111179497.03,0.1683,-0.9434
2022-04-15,sh.600886,8.57232264,8.69958936,8.4995988,8.60868456,12173786,115034065.0,0.1748,0.2116
2022-04-18,sh.600886,8.67231792,8.96321328,8.5450512,8.94503232,24396299,237658946.22,0.3502,3.9071
2022-04-19,sh.600886,8.94503232,8.98139424,8.8177656,8.85412752,9734271,95210835.75,0.1397,-1.0163
