date,code,open,high,low,close,volume,amount,turnover,pct_change
2022-01-04,sh.600377,7.21056966,7.33604361,7.1938398,7.31094882,7469338,64894128.12,0.1964,1.3921
2022-01-05,sh.600377,7.29421896,7.36950333,7.2774891,7.3611384,7676405,67372862.24,0.2019,0.6865
2022-01-06,sh.600377,7.34440854,7.39459812,7.32767868,7.3611384,6226624,54787433.85,0.1638,0.0
2022-01-07,sh.600377,7.36950333,7.42805784,7.34440854,7.40296305,5217921,46119647.68,0.1372,0.5682
2022-01-10,sh.600377,7.38623319,7.46988249,7.35277347,7.37786826,6960660,61572054.23,0.1831,-0.339
2022-01-11,sh.600377,7.37786826,7.43642277,7.33604361,7.38623319,5724165,50563860.84,0.1505,0.1134
2022-01-12,sh.600377,7.41132798,7.41132798,7.26912417,7.37786826,6540916,57419154.99,0.172,-0.1133
2022-01-13,sh.600377,7.34440854,7.40296305,7.34440854,7.36950333,3783831,33304279.49,0.0995,-0.1134
2022-01-14,sh.600377,7.3611384,7.3611384,7.1938398,7.23566445,6049700,52507802.0,0.1591,-1.8161
2022-01-17,sh.600377,7.23566445,7.26912417,7.16038008,7.16874501,5998148,51600162.48,0.1578,-0.9249
2022-01-18,sh.600377,7.18547487,7.26075924,7.14365022,7.21893459,5079262,43663190.34,0.1336,0.7001
2022-01-19,sh.600377,7.21056966,7.36950333,7.18547487,7.31931375,7839085,68557100.03,0.2062,1.3905
2022-01-20,sh.600377,7.31094882,7.38623319,7.31094882,7.35277347,4723222,41561865.25,0.1242,0.4571
2022-01-21,sh.600377,7.33604361,7.39459812,7.31094882,7.34440854,4400377,38643176.06,0.1157,-0.1138
2022-01-24,sh.600377,7.32767868,7.38623319,7.30258389,7.35277347,4875512,42828513.85,0.1282,0.1139
2022-01-25,sh.600377,7.33604361,7.4447877,7.31931375,7.34440854,8541868,75398631.59,0.2247,-0.1138
2022-01-26,sh.600377,7.32767868,7.37786826,7.31931375,7.34440854,4401892,38668830.84,0.1158,0.0
2022-01-27,sh.600377,7.3611384,7.4447877,7.29421896,7.41132798,7182125,63451025.33,0.1889,0.9112
2022-01-28,sh.600377,7.42805784,7.51170714,7.40296305,7.50334221,9298996,83007157.23,0.2446,1.2415
2022-02-07,sh.600377,7.528437,7.65391095,7.42805784,7.62881616,12564509,113441042.5,0.3305,1.6722
2022-02-08,sh.600377,7.62881616,7.9466835,7.59535644,7.89649392,18149558,168910262.28,0.4773,3.5088
2022-02-09,sh.600377,7.88812899,7.9466835,7.6957356,7.71246546,12509800,116397252.84,0.329,-2.3305
2022-02-10,sh.600377,7.73756025,7.96341336,7.6957356,7.95504843,12388392,116607786.03,0.3258,3.1453
2022-02-11,sh.600377,7.92995364,7.95504843,7.81284462,7.82957448,7837156,73764987.22,0.2061,-1.5773
2022-02-14,sh.600377,7.82957448,7.8630342,7.60372137,7.67064081,11580559,106184411.55,0.3046,-2.0299
2022-02-15,sh.600377,7.65391095,7.72083039,7.528437,7.57862658,6673274,60581237.94,0.1755,-1.1996
2022-02-16,sh.600377,7.58699151,7.76265504,7.54516686,7.73756025,7653326,70166803.17,0.2013,2.0971
2022-02-17,sh.600377,7.74592518,7.77101997,7.65391095,7.71246546,4379264,40294666.98,0.1152,-0.3243
2022-02-18,sh.600377,7.67900574,7.73756025,7.67064081,7.70410053,3560600,32811995.44,0.0936,-0.1085
2022-02-21,sh.600377,7.71246546,7.73756025,7.59535644,7.62881616,6113653,55853077.39,0.1608,-0.9772
2022-02-22,sh.600377,7.6120863,7.65391095,7.57862658,7.64554602,4654987,42358668.22,0.1224,0.2193
2022-02-23,sh.600377,7.6120863,7.67064081,7.528437,7.528437,7835966,71031291.58,0.2061,-1.5317
2022-02-24,sh.600377,7.55353179,7.57026165,7.40296305,7.4447877,7492367,66960698.04,0.1971,-1.1111
2022-02-25,sh.600377,7.46151756,7.52007207,7.39459812,7.42805784,5184165,46204434.19,0.1363,-0.2247
2022-02-28,sh.600377,7.46151756,7.46151756,7.36950333,7.40296305,3973388,35187104.0,0.1045,-0.3378
2022-03-01,sh.600377,7.40296305,7.47824742,7.37786826,7.41969291,7647273,67907732.0,0.2011,0.226
2022-03-02,sh.600377,7.41969291,7.51170714,7.37786826,7.48661235,5896923,52556563.0,0.1551,0.9019
2022-03-03,sh.600377,7.50334221,7.56189672,7.46151756,7.53680193,6079342,54645471.0,0.1599,0.6704
2022-03-04,sh.600377,7.528437,7.6957356,7.48661235,7.6120863,10404355,94628943.0,0.2736,0.9989
2022-03-07,sh.600377,7.57862658,7.60372137,7.50334221,7.528437,6676484,60209358.0,0.1756,-1.0989
2022-03-08,sh.600377,7.528437,7.54516686,7.29421896,7.34440854,8879716,78814380.0,0.2335,-2.4444
2022-03-09,sh.600377,7.35277347,7.36950333,6.97635162,7.16038008,9153036,78494402.0,0.2407,-2.5057
