date,code,open,high,low,close,preclose,volume,amount,turn,tradestatus,pctChg
2022-01-04,sz.300724,113.01,113.78,105.28,106.5,114.3,8310080,893983337.16,3.1277,1,-6.8241
2022-01-05,sz.300724,106.67,107.56,103.51,104.19,106.5,5189330,545100959.47,1.9531,1,-2.169
2022-01-06,sz.300724,103.19,106.62,101.8,105.99,104.19,5072156,530657650.76,1.909,1,1.7276
2022-01-07,sz.300724,105.02,108.8,105.0,105.94,105.99,5454384,583528797.6,2.0529,1,-0.0472
2022-01-10,sz.300724,104.64,105.73,102.64,102.99,105.94,4833345,500456256.75,1.8191,1,-2.7846
2022-01-11,sz.300724,103.0,103.88,99.5,99.92,102.99,6321134,636653498.04,2.3791,1,-2.9809
2022-01-12,sz.300724,101.0,104.28,100.52,103.64,99.92,5387151,555926592.88,2.0276,1,3.723
2022-01-13,sz.300724,103.0,103.46,100.03,100.21,103.64,3892210,393548979.8,1.4649,1,-3.3095
2022-01-14,sz.300724,99.5,102.17,98.9,100.3,100.21,3484979,350753919.98,1.3117,1,0.0898
2022-01-17,sz.300724,100.3,100.72,96.29,97.34,100.3,5601658,547573413.14,2.1083,1,-2.9511
2022-01-18,sz.300724,97.34,98.13,95.48,95.99,97.34,4503443,434829787.24,1.695,1,-1.3869
2022-01-19,sz.300724,93.2,95.5,90.8,91.9,95.99,7716707,714769095.28,2.9044,1,-4.2609
2022-01-20,sz.300724,92.66,92.9,85.97,86.39,91.9,11034854,970433009.5,4.1532,1,-5.9956
2022-01-21,sz.300724,86.1,88.2,83.98,84.34,86.39,8481544,726816291.44,3.1922,1,-2.373
2022-01-24,sz.300724,84.5,89.49,84.02,89.04,84.34,6774920,592800531.47,2.5499,1,5.5727
2022-01-25,sz.300724,88.2,90.58,86.95,87.0,89.04,5218618,463015839.67,1.9642,1,-2.2911
2022-01-26,sz.300724,89.0,89.88,86.61,87.43,87.0,4204354,369518875.37,1.5824,1,0.4943
2022-01-27,sz.300724,87.44,89.22,84.6,84.9,87.43,4371405,377588632.36,1.6453,1,-2.8937
2022-01-28,sz.300724,85.37,86.99,81.7,81.94,84.9,5469186,456705674.21,2.0585,1,-3.4865
2022-02-07,sz.300724,82.66,83.69,80.0,81.2,81.94,7352274,600793768.41,2.7672,1,-0.9031
2022-02-08,sz.300724,81.29,81.62,77.81,79.65,81.2,5562175,440015310.17,2.0935,1,-1.9089
2022-02-09,sz.300724,79.45,80.73,77.9,80.33,79.65,5230221,414877711.44,1.9685,1,0.8537
2022-02-10,sz.300724,80.3,81.2,77.57,78.16,80.33,5128554,402501443.71,1.9303,1,-2.7014
2022-02-11,sz.300724,77.61,78.17,75.5,75.75,78.16,4950542,379714879.06,1.8633,1,-3.0834
2022-02-14,sz.300724,75.02,76.76,73.4,74.17,75.75,7695865,575250890.11,2.8965,1,-2.0858
2022-02-15,sz.300724,74.58,76.44,73.45,76.43,74.17,9124583,688057214.65,3.4343,1,3.0471
2022-02-16,sz.300724,76.57,77.5,75.5,76.14,76.43,5013307,382437185.31,1.8869,1,-0.3794
2022-02-17,sz.300724,75.97,80.18,75.72,78.45,76.14,12505942,981448821.2,4.7069,1,3.0339
2022-02-18,sz.300724,77.1,78.58,75.75,76.79,78.45,7537498,577039466.36,2.8369,1,-2.116
2022-02-21,sz.300724,76.01,77.3,75.41,76.38,76.79,4929027,376110601.31,1.8552,1,-0.5339
