date,code,open,high,low,close,volume,amount,turnover,pct_change
2022-02-16,sh.600000,7.28172588,7.33264704,7.26475216,7.29021274,28609574,246064337.02,0.0975,0.4678
2022-02-17,sh.600000,7.2986996,7.32416018,7.26475216,7.26475216,24533221,210822959.41,0.0836,-0.3492
2022-02-18,sh.600000,7.2562653,7.35810762,7.23929158,7.35810762,34384620,296119868.38,0.1171,1.285
2022-02-21,sh.600000,7.33264704,7.33264704,7.2562653,7.2986996,24334270,208998929.56,0.0829,-0.8074
2022-02-22,sh.600000,7.27323902,7.29021274,7.23929158,7.28172588,32497174,278140362.19,0.1107,-0.2326
2022-02-23,sh.600000,7.29021274,7.29021274,7.23929158,7.24777844,29476392,251902283.19,0.1004,-0.4662
2022-02-24,sh.600000,7.24777844,7.2562653,7.1289624,7.16290984,47703559,404232342.33,0.1625,-1.171
2022-02-25,sh.600000,7.16290984,7.19685728,7.13744926,7.15442298,32239910,272095573.85,0.1098,-0.1185
2022-02-28,sh.600000,7.16290984,7.1713967,7.09501496,7.12047554,23393262,196216444.0,0.0797,-0.4745
2022-03-01,sh.600000,7.12047554,7.17988356,7.12047554,7.16290984,23540305,198243687.0,0.0802,0.5959
2022-03-02,sh.600000,7.13744926,7.17988356,7.1289624,7.14593612,16708051,140817898.0,0.0569,-0.237
2022-03-03,sh.600000,7.16290984,7.213831,7.15442298,7.17988356,19864647,167938715.0,0.0677,0.4751
2022-03-04,sh.600000,7.16290984,7.16290984,7.09501496,7.1289624,26395729,221531967.0,0.0899,-0.7092
2022-03-07,sh.600000,7.11198868,7.1289624,7.02712008,7.03560694,37177243,309677984.0,0.1267,-1.3095
2022-03-08,sh.600000,7.03560694,7.0440938,6.8319223,6.85738288,46688059,381542336.0,0.1591,-2.5332
2022-03-09,sh.600000,6.88284346,6.89981718,6.58580336,6.7046194,46035702,367319440.0,0.1568,-2.2277
2022-03-10,sh.600000,6.79797486,6.8319223,6.72159312,6.72159312,25181489,200622345.0,0.0858,0.2532
2022-03-11,sh.600000,6.69613254,6.80646172,6.59429022,6.79797486,33286005,262318143.0,0.1134,1.1364
2022-03-14,sh.600000,6.7470537,6.789488,6.7046194,6.71310626,22770866,180826437.0,0.0776,-1.2484
2022-03-15,sh.600000,6.72159312,6.73007998,6.45850046,6.47547418,48962295,379252432.0,0.1668,-3.5398
2022-03-16,sh.600000,6.52639534,6.6197508,6.38211872,6.59429022,41520083,318505392.0,0.1415,1.8349
2022-03-17,sh.600000,6.6621851,6.6621851,6.54336906,6.56882964,41495556,322981456.0,0.1414,-0.3861
2022-03-18,sh.600000,6.56034278,6.71310626,6.54336906,6.7046194,53179530,417702651.88,0.1812,2.0672
2022-03-21,sh.600000,6.65369824,6.65369824,6.56034278,6.58580336,38823962,302127785.85,0.1323,-1.7722
2022-03-22,sh.600000,6.59429022,6.68764568,6.5773165,6.64521138,28224469,220766831.56,0.0962,0.9021
2022-03-23,sh.600000,6.64521138,6.65369824,6.59429022,6.6197508,25553686,199580747.34,0.0871,-0.3831
