date,code,open,high,low,close,preclose,volume,amount,turn,tradestatus,pctChg
2022-01-04,sz.002352,69.22,71.72,68.74,71.42,68.92,23473866,1653355606.85,0.5212,1,3.6274
2022-01-05,sz.002352,70.66,72.67,70.66,71.3,71.42,22479239,1613401775.82,0.4991,1,-0.168
2022-01-06,sz.002352,71.3,71.8,68.0,68.39,71.3,21113367,1458615813.33,0.4688,1,-4.0813
2022-01-07,sz.002352,68.4,69.78,67.21,68.6,68.39,14644326,1007933149.04,0.3252,1,0.3071
2022-01-10,sz.002352,68.98,69.2,67.3,68.74,68.6,12061099,825352013.08,0.2678,1,0.2041
2022-01-11,sz.002352,69.98,71.5,67.63,67.68,68.74,17398256,1200843996.34,0.3863,1,-1.542
2022-01-12,sz.002352,68.11,68.98,67.36,67.74,67.68,11819759,801622880.15,0.2625,1,0.0887
2022-01-13,sz.002352,67.77,67.97,65.69,65.84,67.74,13119045,870639762.77,0.2913,1,-2.8048
2022-01-14,sz.002352,65.0,66.8,64.64,65.99,65.84,13577194,893940363.56,0.3015,1,0.2278
2022-01-17,sz.002352,66.4,67.35,65.17,66.82,65.99,10141889,675412959.7,0.2252,1,1.2578
2022-01-18,sz.002352,66.6,67.3,65.75,66.54,66.82,11729186,778189533.63,0.2604,1,-0.419
2022-01-19,sz.002352,66.21,67.07,65.35,65.7,66.54,11663056,768442362.55,0.259,1,-1.2624
2022-01-20,sz.002352,66.01,68.3,65.5,67.48,65.7,16799726,1127268490.9,0.373,1,2.7093
2022-01-21,sz.002352,67.47,67.8,66.16,67.4,67.48,11035061,738693272.21,0.245,1,-0.1186
2022-01-24,sz.002352,67.18,67.18,65.01,65.33,67.4,13015975,853785426.04,0.289,1,-3.0712
2022-01-25,sz.002352,65.0,65.5,63.0,63.11,65.33,13442809,859782535.19,0.2985,1,-3.3981
2022-01-26,sz.002352,63.1,65.07,63.1,64.94,63.11,10180435,656205035.16,0.2261,1,2.8997
2022-01-27,sz.002352,64.5,64.98,63.1,63.13,64.94,9466432,603700291.33,0.2102,1,-2.7872
2022-01-28,sz.002352,63.77,65.0,63.29,63.35,63.13,14854822,951380856.49,0.3298,1,0.3485
2022-02-07,sz.002352,64.5,66.68,64.01,64.56,63.35,14686632,956579365.12,0.3261,1,1.91
2022-02-08,sz.002352,64.6,65.67,64.03,65.55,64.56,14030257,912151616.97,0.3115,1,1.5335
2022-02-09,sz.002352,65.58,66.38,63.63,64.18,65.55,15401633,990926696.01,0.342,1,-2.09
2022-02-10,sz.002352,64.08,64.18,62.16,62.63,64.18,18981425,1189341122.01,0.4215,1,-2.4151
2022-02-11,sz.002352,62.65,63.24,61.53,62.59,62.63,11731183,733500574.79,0.2605,1,-0.0639
2022-02-14,sz.002352,61.99,61.99,60.2,60.88,62.59,15550263,945055118.37,0.3453,1,-2.7321
2022-02-15,sz.002352,60.99,61.6,59.28,61.59,60.88,15066864,911569810.35,0.3346,1,1.1662
2022-02-16,sz.002352,61.31,62.0,61.01,61.7,61.59,9934402,611813941.62,0.2206,1,0.1786
2022-02-17,sz.002352,61.82,62.04,60.74,61.65,61.7,11642992,715618358.45,0.2585,1,-0.081
2022-02-18,sz.002352,61.25,61.5,60.47,61.4,61.65,8987380,548711760.61,0.1996,1,-0.4055
2022-02-21,sz.002352,61.9,62.75,61.45,62.15,61.4,12059721,748139439.48,0.2678,1,1.2215
2022-02-22,sz.002352,61.3,61.34,59.5,60.21,62.15,14671617,883263975.69,0.3258,1,-3.1215
2022-02-23,sz.002352,60.21,60.55,59.9,60.41,60.21,12882107,775919072.34,0.286,1,0.3322
2022-02-24,sz.002352,60.1,60.2,57.83,58.39,60.41,25090540,1475296780.5,0.5571,1,-3.3438
2022-02-25,sz.002352,58.95,60.18,58.8,59.9,58.39,15207046,909399060.5,0.3377,1,2.5861
2022-02-28,sz.002352,59.85,60.4,58.6,60.4,59.9,13686721,809619552.0,0.3039,1,0.8347
2022-03-01,sz.002352,59.93,59.95,57.1,57.54,60.4,39584741,2292181648.0,0.879,1,-4.7351
2022-03-02,sz.002352,57.1,58.28,56.28,58.08,57.54,17419973,1002868368.0,0.3868,1,0.9385
2022-03-03,sz.002352,59.17,59.65,58.26,58.52,58.08,20213772,1191284320.0,0.4478,1,0.7576
2022-03-04,sz.002352,58.13,59.48,57.45,58.74,58.52,14419549,851029584.0,0.3194,1,0.3759
2022-03-07,sz.002352,58.03,58.3,55.88,56.1,58.74,18257235,1033849600.0,0.4045,1,-4.4944
2022-03-08,sz.002352,55.68,56.26,53.28,54.59,56.1,22855881,1248912416.0,0.5063,1,-2.6916
2022-03-09,sz.002352,54.08,54.53,51.08,53.24,54.59,26072269,1385516256.0,0.5776,1,-2.473
2022-03-10,sz.002352,54.63,54.88,53.24,53.69,53.24,15974058,860892208.0,0.3539,1,0.8452
