date,code,open,high,low,close,preclose,volume,amount,turn,tradestatus,pctChg
2022-01-04,sh.601888,221.68,222.47,210.59,214.06,219.41,11143443,2383922189.87,0.5707,1,-2.4384
2022-01-05,sh.601888,214.1,218.5,211.53,214.2,214.06,9493875,2036222831.26,0.4862,1,0.0654
2022-01-06,sh.601888,211.12,213.9,207.5,210.11,214.2,9327694,1957378260.89,0.4777,1,-1.9094
2022-01-07,sh.601888,209.98,212.6,206.9,207.78,210.11,6991135,1463731050.45,0.3581,1,-1.1089
2022-01-10,sh.601888,204.0,207.8,194.28,207.11,207.78,13997810,2813601809.82,0.7169,1,-0.3225
2022-01-11,sh.601888,204.03,205.88,200.0,201.21,207.11,9160645,1851608899.88,0.4692,1,-2.8487
2022-01-12,sh.601888,201.0,213.79,201.0,212.0,201.21,12977521,2715587465.98,0.6647,1,5.3626
2022-01-13,sh.601888,212.91,213.66,206.65,207.03,212.0,7009396,1470628655.72,0.359,1,-2.3443
2022-01-14,sh.601888,205.5,205.5,200.2,200.49,207.03,9697009,1957433694.84,0.4967,1,-3.159
2022-01-17,sh.601888,190.0,196.04,187.79,190.43,200.49,21138579,4056995453.98,1.0827,1,-5.0177
2022-01-18,sh.601888,191.99,192.95,188.0,190.71,190.43,9853726,1880747424.54,0.5047,1,0.147
2022-01-19,sh.601888,189.2,191.66,185.12,188.62,190.71,9189528,1731091104.25,0.4707,1,-1.0959
2022-01-20,sh.601888,188.03,194.77,187.02,193.88,188.62,11368650,2187758671.35,0.5823,1,2.7887
2022-01-21,sh.601888,197.0,203.0,196.8,200.66,193.88,15563149,3112539312.36,0.7971,1,3.497
2022-01-24,sh.601888,204.0,209.98,202.2,207.3,200.66,11905571,2462726553.96,0.6098,1,3.3091
2022-01-25,sh.601888,205.01,210.86,204.7,206.63,207.3,10381817,2162184651.53,0.5317,1,-0.3232
2022-01-26,sh.601888,207.35,209.0,203.37,207.35,206.63,7104769,1462685452.62,0.3639,1,0.3484
2022-01-27,sh.601888,207.0,208.5,201.62,203.7,207.35,7441510,1527117435.54,0.3811,1,-1.7603
2022-01-28,sh.601888,206.75,214.48,203.4,206.56,203.7,14243291,2975884053.28,0.7295,1,1.404
2022-02-07,sh.601888,214.6,217.0,208.37,210.81,206.56,10561734,2242957570.94,0.5409,1,2.0575
2022-02-08,sh.601888,210.74,212.49,204.96,210.38,210.81,7143579,1483621382.94,0.3659,1,-0.204
2022-02-09,sh.601888,209.51,215.1,206.8,212.6,210.38,9139946,1927562396.81,0.4681,1,1.0552
2022-02-10,sh.601888,212.97,225.18,210.8,224.0,212.6,17647856,3869996396.73,0.9039,1,5.3622
2022-02-11,sh.601888,221.2,230.5,221.16,225.43,224.0,15691423,3548097379.45,0.8037,1,0.6384
2022-02-14,sh.601888,229.88,231.88,224.0,227.5,225.43,14155273,3234608806.46,0.725,1,0.9182
2022-02-15,sh.601888,225.0,225.0,218.87,222.84,227.5,9773345,2171354025.43,0.5006,1,-2.0484
2022-02-16,sh.601888,224.1,228.08,221.0,224.2,222.84,6213690,1392784352.88,0.3182,1,0.6103
2022-02-17,sh.601888,224.0,225.53,218.7,220.53,224.2,6899615,1525881862.93,0.3534,1,-1.6369
2022-02-18,sh.601888,218.5,222.88,218.01,221.35,220.53,4183630,924054846.19,0.2143,1,0.3718
2022-02-21,sh.601888,219.0,220.0,214.68,215.55,221.35,5925666,1282804685.87,0.3035,1,-2.6203
2022-02-22,sh.601888,213.26,213.39,208.0,210.8,215.55,7768752,1635319721.61,0.3979,1,-2.2037
2022-02-23,sh.601888,211.08,212.53,206.66,210.89,210.8,6500623,1361054329.41,0.3329,1,0.0427
2022-02-24,sh.601888,208.5,210.0,201.6,203.99,210.89,10087131,2066748680.57,0.5166,1,-3.2718
2022-02-25,sh.601888,206.58,212.89,205.55,210.12,203.99,8538927,1794524315.08,0.4373,1,3.005
2022-02-28,sh.601888,208.0,210.1,201.58,202.5,210.12,10711033,2183403216.0,0.5486,1,-3.6265
2022-03-01,sh.601888,202.05,208.6,200.51,208.25,202.5,10037612,2063187600.0,0.5141,1,2.8395
2022-03-02,sh.601888,206.2,206.48,201.18,202.5,208.25,7769226,1576069904.0,0.3979,1,-2.7611
2022-03-03,sh.601888,204.99,207.99,197.25,198.27,202.5,15664295,3161735776.0,0.8023,1,-2.0889
2022-03-04,sh.601888,195.0,203.0,194.0,201.45,198.27,9533347,1907422576.0,0.4883,1,1.6039
2022-03-07,sh.601888,197.2,198.0,186.41,188.28,201.45,18719771,3555237104.0,0.9588,1,-6.5376
2022-03-08,sh.601888,191.1,197.15,188.02,189.5,188.28,13530759,2611402704.0,0.693,1,0.648
2022-03-09,sh.601888,192.0,192.5,180.98,187.83,189.5,12736599,2376359664.0,0.6523,1,-0.8813
2022-03-10,sh.601888,192.0,192.55,186.22,186.77,187.83,10805072,2035085648.0,0.5534,1,-0.5643
2022-03-11,sh.601888,185.0,189.96,179.01,186.6,186.77,13169503,2420959392.0,0.6745,1,-0.091
2022-03-14,sh.601888,178.88,179.0,170.6,171.0,186.6,23636327,4127953312.0,1.2106,1,-8.3601
2022-03-15,sh.601888,167.58,169.78,159.89,160.0,171.0,19612022,3214909136.0,1.0045,1,-6.4327
2022-03-16,sh.601888,163.8,170.58,161.72,170.0,160.0,19115351,3175698640.0,0.979,1,6.25
2022-03-17,sh.601888,176.66,180.08,171.5,175.5,170.0,19061060,3355257104.0,0.9763,1,3.2353
2022-03-18,sh.601888,175.5,177.39,173.1,176.45,175.5,9196495,1616455584.18,0.471,1,0.5413
2022-03-21,sh.601888,175.8,175.99,171.11,172.95,176.45,8126963,1407798592.77,0.4162,1,-1.9836
2022-03-22,sh.601888,169.95,173.0,168.33,170.15,172.95,7640862,1300898034.43,0.3913,1,-1.619
2022-03-23,sh.601888,171.5,171.93,168.22,169.11,170.15,7420857,1259504203.54,0.3801,1,-0.6112
2022-03-24,sh.601888,168.0,168.8,165.6,166.62,169.11,7225312,1204626972.55,0.3701,1,-1.4724
2022-03-25,sh.601888,167.33,168.9,162.5,162.85,166.62,7524638,1241733167.22,0.3854,1,-2.2626
2022-03-28,sh.601888,157.82,161.97,157.08,159.5,162.85,9803836,1562455940.34,0.5021,1,-2.0571
2022-03-29,sh.601888,159.81,161.65,155.73,156.1,159.5,8267156,1304886696.57,0.4234,1,-2.1317
2022-03-30,sh.601888,159.22,168.39,156.88,167.2,156.1,15229175,2480408824.17,0.78,1,7.1108
2022-03-31,sh.601888,164.02,167.1,163.4,164.37,167.2,8257219,1361564180.18,0.4229,1,-1.6926
2022-04-01,sh.601888,162.64,177.3,162.22,174.26,164.37,19300145,3331938288.49,0.9885,1,6.0169
2022-04-06,sh.601888,168.2,168.6,163.0,164.1,174.26,20632182,3419982040.68,1.0567,1,-5.8304
2022-04-07,sh.601888,161.8,167.4,161.37,164.95,164.1,12995661,2144947552.47,0.6656,1,0.518
2022-04-08,sh.601888,163.91,165.7,160.81,164.48,164.95,9303584,1519190774.04,0.4765,1,-0.2849
2022-04-11,sh.601888,161.19,161.19,153.59,156.11,164.48,16885384,2644726616.41,0.8648,1,-5.0888
2022-04-12,sh.601888,157.8,171.72,157.55,171.72,156.11,19192813,3168752228.24,0.983,1,9.9994
2022-04-13,sh.601888,175.8,176.8,169.72,172.0,171.72,23182403,4015525248.54,1.1873,1,0.1631
2022-04-14,sh.601888,174.76,185.1,174.76,181.58,172.0,23491915,4253569856.6,1.2032,1,5.5698
2022-04-15,sh.601888,178.3,185.8,177.17,182.24,181.58,14388167,2626712041.19,0.7369,1,0.3635
2022-04-18,sh.601888,179.02,181.99,177.51,180.88,182.24,7792368,1399944298.13,0.3991,1,-0.7463
2022-04-19,sh.601888,178.6,183.67,177.03,178.63,180.88,12167285,2189459798.62,0.6232,1,-1.2439
2022-04-20,sh.601888,178.34,186.0,174.76,182.26,178.63,14627905,2656381497.15,0.7492,1,2.0321
2022-04-21,sh.601888,179.1,181.77,173.5,175.16,182.26,12306425,2175255750.98,0.6303,1,-3.8955
2022-04-22,sh.601888,174.0,178.99,171.32,176.98,175.16,10400305,1825978802.68,0.5327,1,1.0391
2022-04-25,sh.601888,168.38,181.3,166.1,173.49,176.98,20419444,3588737517.38,1.0458,1,-1.972
2022-04-26,sh.601888,175.0,185.05,175.0,180.02,173.49,20267012,3655558199.37,1.038,1,3.7639
2022-04-27,sh.601888,178.5,185.33,177.0,183.99,180.02,18030720,3275885094.12,0.9235,1,2.2053
2022-04-28,sh.601888,181.0,187.66,178.0,181.58,183.99,15936045,2909670520.98,0.8162,1,-1.3099
2022-04-29,sh.601888,182.8,183.5,174.3,181.99,181.58,16288771,2917724186.52,0.8343,1,0.2258
2022-05-05,sh.601888,179.0,182.8,175.44,179.74,181.99,12301210,2207277274.78,0.63,1,-1.2363
2022-05-06,sh.601888,174.0,175.23,161.88,163.69,179.74,21377960,3576514825.04,1.0949,1,-8.9296
2022-05-09,sh.601888,159.5,163.6,156.22,160.0,163.69,13538176,2157599611.06,0.6934,1,-2.2543
2022-05-10,sh.601888,156.0,168.4,155.18,165.95,160.0,15164964,2477067808.83,0.7767,1,3.7188
2022-05-11,sh.601888,166.95,179.49,166.95,176.65,165.95,21362944,3720667846.37,1.0941,1,6.4477
2022-05-12,sh.601888,173.55,174.85,170.36,171.95,176.65,8189062,1412509651.72,0.4194,1,-2.6606
2022-05-13,sh.601888,173.5,174.0,170.11,173.0,171.95,6517026,1121364967.87,0.3338,1,0.6106
2022-05-16,sh.601888,174.55,178.0,171.88,174.32,173.0,10117378,1767318475.72,0.5182,1,0.763
2022-05-17,sh.601888,173.98,176.68,172.58,174.92,174.32,6881349,1201129107.33,0.3524,1,0.3442
2022-05-18,sh.601888,175.7,175.94,168.15,170.35,174.92,9499730,1625549293.59,0.4865,1,-2.6126
2022-05-19,sh.601888,166.0,169.45,165.32,167.8,170.35,8477869,1417758005.34,0.4342,1,-1.4969
2022-05-20,sh.601888,169.16,176.0,169.16,175.75,167.8,13699612,2385927521.94,0.7017,1,4.7378
2022-05-23,sh.601888,176.03,176.5,166.45,166.77,175.75,19099896,3220303640.6,0.9782,1,-5.1095
2022-05-24,sh.601888,167.24,168.2,163.98,164.4,166.77,9223957,1531477192.98,0.4724,1,-1.4211
2022-05-25,sh.601888,163.05,167.1,162.43,165.65,164.4,9507726,1565762792.7,0.487,1,0.7603
2022-05-26,sh.601888,165.69,166.9,161.0,163.05,165.65,11988996,1953119303.99,0.614,1,-1.5696
2022-05-27,sh.601888,165.3,168.6,164.0,164.95,163.05,11774721,1957997494.84,0.6031,1,1.1653
2022-05-30,sh.601888,169.89,172.52,166.3,172.0,164.95,17570470,2993308400.38,0.8999,1,4.274
2022-05-31,sh.601888,171.0,177.89,169.6,176.7,172.0,18613617,3261895534.64,0.9533,1,2.7326
2022-06-01,sh.601888,178.0,179.8,175.33,175.92,176.7,12698166,2254678700.86,0.6504,1,-0.4414
2022-06-02,sh.601888,175.0,176.66,174.61,175.39,175.92,8656521,1518497214.76,0.4434,1,-0.3013
2022-06-06,sh.601888,177.0,181.53,172.42,180.97,175.39,14791744,2632981472.98,0.7576,1,3.1815
2022-06-07,sh.601888,181.82,186.99,179.5,184.8,180.97,15664826,2896471582.16,0.8023,1,2.1164
2022-06-08,sh.601888,188.0,193.0,186.8,191.56,184.8,17791609,3388404928.21,0.9112,1,3.658
2022-06-09,sh.601888,194.01,194.49,185.29,186.9,191.56,12169435,2295700220.7,0.6233,1,-2.4327
2022-06-10,sh.601888,184.08,189.4,184.07,187.75,186.9,11769796,2201439757.18,0.6028,1,0.4548
2022-06-13,sh.601888,183.0,184.49,175.78,178.31,187.75,18166168,3251375978.98,0.9304,1,-5.028
2022-06-14,sh.601888,175.5,181.47,175.01,181.01,178.31,9746851,1734260571.46,0.4992,1,1.5142
2022-06-15,sh.601888,180.61,186.98,176.7,181.98,181.01,15404563,2806344267.48,0.789,1,0.5359
2022-06-16,sh.601888,182.3,185.0,181.36,182.0,181.98,7698050,1409520311.39,0.3943,1,0.011
2022-06-17,sh.601888,180.0,191.89,179.51,190.39,182.0,18397737,3455391185.32,0.9423,1,4.6099
2022-06-20,sh.601888,190.9,198.35,190.9,197.0,190.39,16008991,3122034134.16,0.8199,1,3.4718
2022-06-21,sh.601888,197.01,200.99,194.8,197.43,197.0,14655270,2900037662.02,0.7506,1,0.2183
2022-06-22,sh.601888,197.0,197.9,192.09,192.3,197.43,11742104,2281754702.1,0.6014,1,-2.5984
2022-06-23,sh.601888,194.8,201.02,194.26,199.5,192.3,14920748,2957993128.06,0.7642,1,3.7441
2022-06-24,sh.601888,198.69,204.23,197.44,201.12,199.5,14076384,2820792662.69,0.721,1,0.812
2022-06-27,sh.601888,211.0,221.23,210.0,214.4,201.12,30755104,6646711907.08,1.5752,1,6.603
2022-06-28,sh.601888,213.39,222.88,211.13,222.88,214.4,22710725,4939883149.83,1.1632,1,3.9552
2022-06-29,sh.601888,225.0,231.18,218.4,219.05,222.88,19275960,4299565627.11,0.9873,1,-1.7184
2022-06-30,sh.601888,224.4,237.8,221.24,232.93,219.05,25013099,5758900170.71,1.2811,1,6.3365
2022-07-01,sh.601888,229.1,230.63,220.2,225.11,232.93,16656578,3751108255.51,0.8531,1,-3.3572
2022-07-04,sh.601888,219.8,229.2,216.98,226.12,225.11,14332831,3222489747.96,0.7341,1,0.4487
2022-07-05,sh.601888,226.3,229.12,217.96,220.91,226.12,15479355,3418618058.39,0.7928,1,-2.3041
2022-07-06,sh.601888,216.49,216.98,207.9,209.49,220.91,23245980,4914514810.07,1.1906,1,-5.1695
2022-07-07,sh.601888,208.0,210.99,204.5,209.41,209.49,15133952,3147499955.78,0.7751,1,-0.0382
2022-07-08,sh.601888,214.7,218.16,211.56,211.97,209.41,12372547,2653308484.48,0.6337,1,1.2225
2022-07-11,sh.601888,206.5,208.5,203.56,207.35,211.97,11361850,2342840273.72,0.5819,1,-2.1796
2022-07-12,sh.601888,207.33,209.38,200.87,203.54,207.35,9680358,1975673665.51,0.4958,1,-1.8375
2022-07-13,sh.601888,204.05,207.51,203.41,205.6,203.54,9369933,1925390223.03,0.4799,1,1.0121
2022-07-14,sh.601888,203.0,212.0,203.0,209.5,205.6,12526777,2617031319.58,0.6416,1,1.8969
2022-07-15,sh.601888,206.0,212.89,204.0,204.36,208.0,10920150,2276786892.36,0.5593,1,-1.75
2022-07-18,sh.601888,206.0,209.28,201.02,206.58,204.36,8335400,1715601810.36,0.4269,1,1.0863
2022-07-19,sh.601888,211.0,211.25,205.01,209.0,206.58,9421848,1962955883.46,0.4826,1,1.1715
2022-07-20,sh.601888,210.33,216.51,208.74,214.95,209.0,11554916,2471578687.63,0.5918,1,2.8469
2022-07-21,sh.601888,214.56,214.56,208.7,208.95,214.95,8242854,1737955527.58,0.4222,1,-2.7913
2022-07-22,sh.601888,208.0,215.05,208.0,214.62,208.95,10661762,2271975739.19,0.5461,1,2.7136
2022-07-25,sh.601888,214.6,221.28,213.5,219.61,214.62,10815473,2366044826.02,0.5539,1,2.325
2022-07-26,sh.601888,222.9,226.04,217.8,219.0,219.61,10442671,2316825772.37,0.5348,1,-0.2778
2022-07-27,sh.601888,217.05,219.23,214.0,214.83,219.0,8036773,1732717148.32,0.4116,1,-1.9041
2022-07-28,sh.601888,222.0,226.66,217.96,219.98,214.83,14965221,3328966356.28,0.7665,1,2.3972
2022-07-29,sh.601888,214.5,218.6,209.18,209.9,219.98,13520126,2873554987.31,0.6925,1,-4.5822
