date,code,open,high,low,close,volume,amount,turnover,pct_change
2022-01-04,sh.601225,9.2694802,9.35072664,9.04051296,9.06267108,73615027,914316407.86,0.7593,0.5738
2022-01-05,sh.601225,9.02574088,9.12914544,8.90756424,8.92972236,49896129,607112249.31,0.5147,-1.467
2022-01-06,sh.601225,8.94449444,9.0109688,8.88540612,8.92233632,42159338,509442349.45,0.4349,-0.0827
2022-01-07,sh.601225,8.92233632,9.02574088,8.88540612,8.96665256,38132346,462368368.9,0.3933,0.4967
2022-01-10,sh.601225,9.12914544,9.22516396,9.01835484,9.21777792,78674331,972039586.95,0.8115,2.8007
2022-01-11,sh.601225,9.1217594,9.23993604,9.07744316,9.12914544,37073220,459301112.13,0.3824,-0.9615
2022-01-12,sh.601225,9.1586896,9.21777792,9.0109688,9.1956198,41951285,517957084.4,0.4327,0.7282
2022-01-13,sh.601225,9.1956198,9.73480072,9.18084772,9.44674516,107996858,1391138782.63,1.1139,2.7309
2022-01-14,sh.601225,9.35811268,9.3802708,9.0109688,9.0109688,64401505,795854100.95,0.6643,-4.613
2022-01-17,sh.601225,9.047899,9.14391752,9.00358276,9.07005712,31173912,382871239.62,0.3215,0.6557
2022-01-18,sh.601225,9.11437336,9.43935912,9.04051296,9.42458704,56004345,704690501.25,0.5777,3.9088
2022-01-19,sh.601225,9.601852,9.971154,9.4910614,9.54276368,87474793,1146495629.14,0.9023,1.2539
2022-01-20,sh.601225,9.4910614,9.65355428,9.40981496,9.59446596,44844284,579912499.67,0.4626,0.5418
2022-01-21,sh.601225,9.6387822,9.87513548,9.53537764,9.76434488,66765321,878959718.55,0.6887,1.7706
2022-01-24,sh.601225,9.68309844,9.90467964,9.57230784,9.83081924,52572220,694763406.08,0.5423,0.6808
2022-01-25,sh.601225,9.73480072,9.75695884,9.50583348,9.5279916,45537687,593860035.98,0.4697,-3.0804
2022-01-26,sh.601225,9.57969388,9.60923804,9.3064104,9.46151724,37075552,474500927.79,0.3824,-0.6977
2022-01-27,sh.601225,9.5279916,9.786503,9.49844744,9.50583348,37479012,487734500.34,0.3866,0.4684
2022-01-28,sh.601225,9.43935912,9.53537764,9.16607564,9.26209416,42407519,535734022.28,0.4374,-2.5641
2022-02-07,sh.601225,9.4541312,9.69787052,9.38765684,9.6387822,49065323,634650296.43,0.5061,4.067
2022-02-08,sh.601225,9.88990756,10.25920956,9.74218676,10.155805,131540861,1782319350.71,1.3568,5.364
2022-02-09,sh.601225,10.14841896,10.39954432,10.03024232,10.12626084,98561289,1366742498.66,1.0166,-0.2909
2022-02-10,sh.601225,9.8972936,10.4143164,9.786503,10.340456,78616304,1081669059.17,0.8109,2.1152
2022-02-11,sh.601225,10.28136768,10.70237196,10.23705144,10.4512466,79647760,1133504787.47,0.8215,1.0714
2022-02-14,sh.601225,10.47340472,10.5989674,10.2296654,10.31829788,47452119,668270007.12,0.4894,-1.2721
2022-02-15,sh.601225,10.08933064,10.25920956,10.05240044,10.14841896,42945794,588653365.56,0.443,-1.6464
2022-02-16,sh.601225,10.13364688,10.4143164,10.0450144,10.25920956,39220599,543082106.08,0.4045,1.0917
2022-02-17,sh.601225,10.20750728,10.29613976,10.155805,10.23705144,26262510,364060592.57,0.2709,-0.216
2022-02-18,sh.601225,10.1927352,10.76146028,10.1927352,10.71714404,60535844,867541952.22,0.6244,4.6898
2022-02-21,sh.601225,10.73191612,11.0051996,10.62112552,10.894409,57849098,849735593.67,0.5967,1.654
2022-02-22,sh.601225,10.87963692,11.1159902,10.76884632,10.97565544,66393298,982180138.79,0.6848,0.7458
2022-02-23,sh.601225,10.96088336,10.9682694,10.69498592,10.90179504,63207750,928988943.75,0.652,-0.6729
2022-02-24,sh.601225,11.07167396,11.12337624,10.71714404,10.87225088,60418738,892610849.78,0.6232,-0.271
2022-02-25,sh.601225,10.7466882,11.13814832,9.971154,10.40693036,165813831,2361862493.46,1.7103,-4.2799
2022-02-28,sh.601225,10.340456,10.7466882,10.340456,10.51033492,97637554,1389462400.0,1.0071,0.9936
2022-03-01,sh.601225,10.45863264,10.88702296,10.42170244,10.87225088,77718162,1124362864.0,0.8016,3.4434
2022-03-02,sh.601225,10.99042752,11.06428792,10.76146028,10.9682694,58119478,859320672.0,0.5995,0.8832
2022-03-03,sh.601225,11.09383208,11.36711556,11.0421298,11.05690188,76919137,1165327040.0,0.7934,0.8081
2022-03-04,sh.601225,11.0421298,11.42620388,10.9313392,11.2267808,66138770,1006341264.0,0.6822,1.5364
2022-03-07,sh.601225,11.5591526,11.69948736,11.12337624,11.21200872,83008725,1280791296.0,0.8562,-0.1316
2022-03-08,sh.601225,11.07906,11.1529204,10.66544176,10.73930216,75316395,1110006880.0,0.7769,-4.2161
2022-03-09,sh.601225,10.7836184,11.28586912,10.51033492,10.96088336,76264226,1132859520.0,0.7866,2.0633
2022-03-10,sh.601225,10.79100444,11.1159902,10.53987908,10.73930216,100034149,1466175776.0,1.0318,-2.0216
2022-03-11,sh.601225,10.709758,11.1159902,10.43647452,10.84270672,78642468,1153102928.0,0.8112,0.9629
2022-03-14,sh.601225,10.64328364,11.1159902,10.53249304,10.54726512,62224990,909753792.0,0.6418,-2.7248
2022-03-15,sh.601225,10.42908848,10.42908848,9.786503,9.786503,82882014,1125793920.0,0.8549,-7.2129
2022-03-16,sh.601225,9.88252152,10.2296654,9.75695884,10.20012124,51292515,693465120.0,0.5291,4.2264
2022-03-17,sh.601225,10.2665956,10.47340472,9.88990756,10.25182352,61884594,852327632.0,0.6383,0.5069
2022-03-18,sh.601225,10.28875372,10.709758,10.28875372,10.65066968,54681946,783264681.79,0.564,3.8905
2022-03-21,sh.601225,10.56942324,11.16769248,10.56942324,10.96088336,55657553,826437088.5,0.5741,2.9126
2022-03-22,sh.601225,10.894409,11.3006412,10.894409,11.28586912,62881853,950459344.55,0.6486,2.965
2022-03-23,sh.601225,11.263711,11.3006412,10.79839048,11.13076228,52314704,784366244.38,0.5396,-1.3743
2022-03-24,sh.601225,11.19723664,11.42620388,11.10860416,11.28586912,42129648,643887125.47,0.4346,1.3935
2022-03-25,sh.601225,11.25632496,11.46313408,11.1898506,11.3006412,45943573,705077620.18,0.4739,0.1309
2022-03-28,sh.601225,11.4114318,11.8545942,11.3006412,11.6699432,63175400,998569515.25,0.6516,3.268
2022-03-29,sh.601225,11.75118964,12.4454774,11.75118964,12.31252868,105510725,1735817458.05,1.0883,5.5063
2022-03-30,sh.601225,11.9653848,12.36423096,11.7438036,11.77334776,79735238,1287941815.55,0.8224,-4.3791
2022-03-31,sh.601225,11.87675232,12.24605432,11.68471528,12.1500358,76311696,1243947778.73,0.7871,3.1995
2022-04-01,sh.601225,12.04663124,12.29037056,11.8915244,12.15742184,74715295,1223745479.2,0.7707,0.0608
2022-04-06,sh.601225,12.0761754,12.13526372,11.5591526,11.76596172,79007192,1254868624.47,0.8149,-3.2199
2022-04-07,sh.601225,12.01708708,12.23866828,11.84720816,12.03185916,62120889,1014713037.53,0.6408,2.2599
2022-04-08,sh.601225,12.2608264,12.556268,12.1131056,12.52672384,68724331,1153878845.71,0.7089,4.113
2022-04-11,sh.601225,12.4085472,12.8886398,12.23128224,12.6301284,87353004,1505603197.86,0.901,0.8255
2022-04-12,sh.601225,12.8517096,13.10283496,12.4085472,12.71137484,83438872,1448421719.14,0.8606,0.6433
2022-04-13,sh.601225,12.57842612,13.3318022,12.54149592,13.05851872,71579704,1267493851.41,0.7383,2.731
2022-04-14,sh.601225,13.04374664,13.78235064,12.82216544,13.5533834,79851277,1453438520.4,0.8236,3.7896
2022-04-15,sh.601225,13.5533834,14.12949452,12.7778492,12.9625002,96330365,1737316849.66,0.9936,-4.3597
2022-04-18,sh.601225,12.61535632,13.24316972,12.54149592,12.62274236,70823542,1221674737.22,0.7305,-2.6211
2022-04-19,sh.601225,12.6301284,12.95511416,12.4454774,12.89602584,56798704,980781164.3,0.5859,2.165
2022-04-20,sh.601225,12.71137484,12.91079792,12.25344036,12.29037056,70986022,1203257705.14,0.7322,-4.6964
2022-04-21,sh.601225,12.46024948,12.63751444,12.1131056,12.2238962,65699828,1097655674.85,0.6777,-0.5409
2022-04-22,sh.601225,12.1500358,12.50456572,12.06140332,12.23866828,57673576,962343233.15,0.5949,0.1208
2022-04-25,sh.601225,12.06878936,12.1131056,11.47052012,11.7438036,77059507,1234147135.43,0.7948,-4.0435
2022-04-26,sh.601225,11.9653848,11.9653848,11.1529204,11.29325516,98156186,1510596228.96,1.0124,-3.8365
2022-04-27,sh.601225,11.3006412,11.75857568,11.18246456,11.72903152,62420952,972196025.84,0.6438,3.8587
2022-04-28,sh.601225,12.03185916,12.90341188,11.8915244,12.82216544,111575692,1886017034.53,1.1509,9.3199
2022-04-29,sh.601225,12.92557,12.99204436,12.35684492,12.71137484,76863592,1311816199.49,0.7928,-0.8641
2022-05-05,sh.601225,12.71137484,12.9625002,12.30514264,12.4085472,64279971,1088794972.2,0.663,-2.3823
2022-05-06,sh.601225,12.16480788,12.83693752,12.0392452,12.4085472,51132162,865035148.37,0.5274,0.0
2022-05-09,sh.601225,12.186966,12.31252868,11.60346884,12.23128224,51751909,843163007.87,0.5338,-1.4286
2022-05-10,sh.601225,12.03185916,12.03185916,11.52960844,11.68471528,75550013,1193538316.65,0.7793,-4.4686
2022-05-11,sh.601225,11.7068734,12.17219392,11.62562696,12.09833352,55508101,896128572.25,0.5725,3.5398
2022-05-12,sh.601225,12.17219392,12.46763552,11.75857568,11.95061272,48188658,787243951.83,0.497,-1.221
2022-05-13,sh.601225,12.02447312,12.54149592,11.817664,12.46024948,50721950,846199793.43,0.5232,4.2645
2022-05-16,sh.601225,12.60058424,12.8517096,12.35684492,12.74830504,48515681,829973463.22,0.5004,2.3118
2022-05-17,sh.601225,12.7039888,13.06590476,12.65228652,12.7778492,43982521,764011479.67,0.4537,0.2317
2022-05-18,sh.601225,12.72614692,12.80000732,12.49717968,12.60058424,33437736,570032034.82,0.3449,-1.3873
