date,code,open,high,low,close,preclose,volume,amount,turn,tradestatus,pctChg
2022-01-04,sz.300454,191.7,192.5,187.08,188.6,191.0,1643511,310935201.91,0.609,1,-1.2565
2022-01-05,sz.300454,187.23,188.98,177.1,179.05,188.6,3459957,628216956.83,1.282,1,-5.0636
2022-01-06,sz.300454,178.9,179.05,172.0,172.19,179.05,3516205,611830052.81,1.3029,1,-3.8313
2022-01-07,sz.300454,172.3,175.88,170.0,171.2,172.19,2162090,372352166.41,0.8011,1,-0.5749
2022-01-10,sz.300454,170.85,173.17,166.7,170.25,171.2,2551467,434325981.58,0.9454,1,-0.5549
2022-01-11,sz.300454,171.87,172.0,167.02,168.94,170.25,2036672,343751657.25,0.7547,1,-0.7695
2022-01-12,sz.300454,168.8,170.54,165.23,166.58,168.94,2459963,411030712.58,0.9115,1,-1.3969
2022-01-13,sz.300454,166.28,170.88,165.0,165.88,166.58,2329680,391005921.17,0.8632,1,-0.4202
2022-01-14,sz.300454,165.98,169.8,163.47,165.98,165.88,1732325,288892883.05,0.6419,1,0.0603
2022-01-17,sz.300454,166.84,182.31,166.84,179.7,165.98,4735318,836479038.0,1.7546,1,8.2661
2022-01-18,sz.300454,181.71,191.45,178.0,185.55,179.7,2908398,544106270.13,1.0777,1,3.2554
2022-01-19,sz.300454,183.99,184.01,178.0,181.1,185.55,1717791,309795820.32,0.6365,1,-2.3983
2022-01-20,sz.300454,181.98,182.1,175.57,178.01,181.1,1916830,340489633.39,0.708,1,-1.7062
2022-01-21,sz.300454,176.84,178.33,170.85,173.84,178.01,2684955,465979921.93,0.9918,1,-2.3426
2022-01-24,sz.300454,171.46,177.97,170.28,176.0,173.84,2108901,371278741.92,0.779,1,1.2425
2022-01-25,sz.300454,175.2,176.0,168.0,168.37,176.0,1733955,296896285.32,0.6405,1,-4.3352
2022-01-26,sz.300454,160.0,175.8,159.5,172.97,168.37,4433148,759716461.67,1.6375,1,2.7321
2022-01-27,sz.300454,171.5,171.69,156.72,161.8,172.97,4943856,799323258.37,1.8262,1,-6.4578
2022-01-28,sz.300454,161.8,163.1,153.68,154.0,161.8,3645470,570292976.33,1.3466,1,-4.8208
2022-02-07,sz.300454,157.0,158.0,150.4,153.17,154.0,2042727,313120190.21,0.7545,1,-0.539
2022-02-08,sz.300454,153.19,153.25,146.13,148.3,153.17,2267909,335934871.75,0.8377,1,-3.1795
2022-02-09,sz.300454,147.94,153.0,144.53,147.17,148.3,2929583,431219777.99,1.0821,1,-0.762
2022-02-10,sz.300454,145.68,149.88,144.08,144.9,147.17,2767186,406104490.41,1.0221,1,-1.5424
2022-02-11,sz.300454,144.8,149.88,143.0,147.1,144.9,2659911,392171221.35,0.9825,1,1.5183
2022-02-14,sz.300454,147.1,147.81,142.66,144.5,147.1,3028509,438653877.22,1.1187,1,-1.7675
2022-02-15,sz.300454,145.95,146.97,142.0,146.63,144.5,2551822,368920517.91,0.9426,1,1.474
2022-02-16,sz.300454,148.51,151.55,142.38,146.27,146.63,2195193,318928206.27,0.8109,1,-0.2455
2022-02-17,sz.300454,146.34,147.25,144.06,145.79,146.27,1920928,280258980.7,0.7095,1,-0.3282
2022-02-18,sz.300454,145.99,145.99,140.68,145.56,145.79,2525096,361288375.88,0.9327,1,-0.1578
2022-02-21,sz.300454,148.03,151.82,144.61,146.72,145.56,2338575,346466970.73,0.8638,1,0.7969
2022-02-22,sz.300454,145.2,145.71,140.28,143.02,146.72,2596076,369204460.94,0.9594,1,-2.5218
2022-02-23,sz.300454,141.23,148.5,141.23,147.56,143.02,2317703,338440210.18,0.8565,1,3.1744
2022-02-24,sz.300454,146.8,149.6,141.28,142.91,147.56,2349147,341602120.42,0.8681,1,-3.1513
2022-02-25,sz.300454,144.75,149.75,143.91,148.08,142.91,1711750,252633909.73,0.6326,1,3.6177
2022-02-28,sz.300454,148.0,149.79,143.04,145.5,148.08,1701223,246833890.0,0.6287,1,-1.7423
2022-03-01,sz.300454,145.3,146.0,141.49,142.43,145.5,1854158,265143684.0,0.6852,1,-2.11
2022-03-02,sz.300454,142.29,143.5,139.1,142.06,142.43,1241164,175488647.0,0.4587,1,-0.2598
2022-03-03,sz.300454,142.0,143.4,139.08,142.69,142.06,1999247,283006848.0,0.7388,1,0.4435
